,PCA1,PCA2,Cluster
AAVE-USD,-43972.8654495817,-983.8204096796389,0
ADA-USD,-46763.15353600251,-390.89726980755097,0
ALGO-USD,-46769.934698737976,-390.8188589653734,0
ATOM-USD,-46632.759920450575,-344.0065929311946,0
AVAX-USD,-46118.01073505552,-277.75607439842344,0
BCH-USD,-39019.492715726,459.2913579970914,3
BNB-USD,-36116.48845742535,142.4311628061917,3
BTC-USD,1265676.6243376613,-437.3637982879579,1
CHR-USD,-46768.79855442735,-389.26725192730265,0
DASH-USD,-46195.920864623295,-329.2350649336234,0
DOGE-USD,-46770.340485885456,-391.5868355835145,0
DOT-USD,-46649.182693509945,-361.6127713926069,0
EOS-USD,-46760.12720432213,-388.1025689465661,0
ETC-USD,-46293.80563580035,-294.27183446556495,0
ETH-USD,11793.890043232535,9815.835734585165,2
FIL-USD,-46671.00472730864,-361.569970947203,0
FTT-USD,-46737.39204417013,-390.0357794617503,0
LINK-USD,-46474.017740055264,-350.17065802262294,0
LTC-USD,-45237.089367074244,-251.89760772471095,0
MATIC-USD,-46762.35943829296,-386.3296734346231,0
NEO-USD,-46523.48852731002,-348.47631335486943,0
SOL-USD,-43691.53192650838,-363.9610001866962,0
THETA-USD,-46739.31702256274,-385.26858393254236,0
TRX-USD,-46770.89749623295,-391.142690560483,0
UNI-USD,-46773.866512966364,-390.8598521407457,0
VET-USD,-46773.21450779224,-390.7722419126269,0
XLM-USD,-46770.665941063315,-391.6841272274966,0
XMR-USD,-43838.60992799298,-164.70999087160456,0
XRP-USD,-46757.53107202091,-395.47601641096213,0
ZEC-USD,-46118.647177995386,-476.4644178802287,0
